annotation_index,program_id,task_id,pattern_label,confidence,annotation_rationale,annotation_source
30,45003873,abc247_e,dynamic_programming,low,"next_x/next_y arrays are filled by a single backward pass where each cell depends on its successor, a simple 1D recurrence with a defined fill order, though not a classic optimization DP.",claude-blinded-model-annotation
31,39496981,abc247_g,outside_vocabulary,high,An explicit minimum-cost-flow class with Dijkstra-with-potentials drives the solution; min-cost flow is not in the 12-class vocabulary.,claude-blinded-model-annotation
32,45802660,abc248_e,brute_force_implementation,medium,"Triple-nested enumeration over all point pairs and then all other points to count collinear points per direction; a set is used only to skip already-processed directions, not as the counting mechanism itself.",claude-blinded-model-annotation
33,45104462,abc249_a,brute_force_implementation,medium,"Pure closed-form arithmetic computed directly from the input with no loop or data structure, matching the vocabulary's direct-formula clause.",claude-blinded-model-annotation
34,45700046,abc250_d,two_pointers,high,"After an unrelated sieve precomputes a candidate list, a forward index i and a monotonically non-increasing index k sweep the sorted list together to count valid pairs, a classic two-pointer count.",claude-blinded-model-annotation
35,31608048,abc250_g,greedy,high,"Two heaps are compared at each new price to make an immediate locally-best buy/sell decision that is never reconsidered, a heap-driven greedy strategy.",claude-blinded-model-annotation
36,45243368,abc252_b,sorting_based,medium,"Sorts the (value,index) pairs descending to identify the maximum and tied elements, then checks set membership for each tied index.",claude-blinded-model-annotation
37,52975596,abc253_g,brute_force_implementation,low,"Directly constructs two index permutations via a bespoke combinatorial formula and composes them with no search, sort, or table; no vocabulary class matches cleanly.",claude-blinded-model-annotation
38,32688484,abc256_g,outside_vocabulary,medium,Combines modular-inverse combinatorics with 2x2 matrix exponentiation by repeated squaring; the driving technique is not covered by the 12-class vocabulary.,claude-blinded-model-annotation
39,45289055,abc257_a,brute_force_implementation,medium,"A single closed-form arithmetic expression computes the answer directly with no loop, search, or data structure.",claude-blinded-model-annotation
40,45044587,abc257_c,sorting_based,high,"Sorts (weight, group) pairs and then makes one linear pass maintaining a running count and tracking a maximum.",claude-blinded-model-annotation
41,52382935,abc259_d,outside_vocabulary,high,An explicit UnionFind class unions circles over all pairs and answers via same(); DSU is named in PATTERN_VOCABULARY.md's own outside-vocabulary example.,claude-blinded-model-annotation
42,45515452,abc259_e,hash_map_counting,medium,"Groups entries by key into a defaultdict(list), then compares the top elements of each sorted group; the hashmap grouping is the organizing structure.",claude-blinded-model-annotation
43,33361937,abc260_g,prefix_sums,high,Classic 2D difference-array (imos) technique: point updates at boundaries followed by cumulative-sum passes along each axis to answer queries in O(1).,claude-blinded-model-annotation
44,33776994,abc262_g,dynamic_programming,high,"Recursive function f() checks a dict-based memo keyed by state before recursing and stores the result before returning, the canonical memoized-recursion shape.",claude-blinded-model-annotation
45,34500524,abc263_g,binary_search,medium,"The top-level driver is an explicitly named ternary-search routine that repeatedly narrows [L,R] via two interior evaluation points; the per-evaluation step internally uses a max-flow subroutine.",claude-blinded-model-annotation
46,45798886,abc265_b,simulation,high,"Walks through rooms one at a time, applying a deposit-then-consume fuel rule at each step and checking feasibility immediately, a direct step-by-step process.",claude-blinded-model-annotation
47,45966660,abc265_d,prefix_sums,high,"Builds a cumulative-sum array via accumulate() and a companion set, then answers point queries via O(1) membership lookups into the prefix-sum set.",claude-blinded-model-annotation
48,43487741,abc265_f,dynamic_programming,high,"Explicit dp/ndp tables with a base case and a per-step transition loop over d in range(1,N), using auxiliary diagonal running sums as a transition-speedup detail.",claude-blinded-model-annotation
49,45028964,abc266_c,outside_vocabulary,medium,Pure computational-geometry orientation/cross-product sign check on four fixed points with no loop or search structure.,claude-blinded-model-annotation
50,34423081,abc266_h,dynamic_programming,low,"The code's own comments define a dp[i] recurrence, implemented via a custom range-tree/segment-tree to accelerate the transition rather than a plain array.",claude-blinded-model-annotation
51,45233540,abc267_b,brute_force_implementation,low,"Direct hardcoded condition checks on ten fixed string positions to derive a small boolean array, with no loop over variable-size input or real algorithmic shortcut.",claude-blinded-model-annotation
52,45550363,abc267_d,dynamic_programming,high,Explicit 2D table dp[i][j] with base case dp[0][0]=0 filled by a nested loop applying a max-of-transitions recurrence.,claude-blinded-model-annotation
53,45545460,abc267_f,graph_traversal_dfs_bfs,medium,An explicit stack-based dfs() with a time/visited array is used twice to find the tree diameter; a binary-lifting doubling table is then built on top of the resulting path for query answering.,claude-blinded-model-annotation
54,43509672,abc269_g,dynamic_programming,medium,"After grouping differences by binary decomposition, a table q is iteratively updated per item-group with a min-relaxation recurrence and a base case q[s]=0.",claude-blinded-model-annotation
55,45974029,abc270_d,dynamic_programming,high,An active dp array is filled forward with a subtraction-game recurrence dp[i]=a+(i-a)-dp[i-a]; an earlier greedy approach is left commented out and unused.,claude-blinded-model-annotation
56,49178986,abc270_g,hash_map_counting,medium,The baby-step-giant-step routine stores intermediate values in a hash map during the baby-step phase and checks membership during the giant-step phase.,claude-blinded-model-annotation
57,46008428,abc271_d,dynamic_programming,high,"Classic subset-sum reachability table dp[i][j] with base case dp[0][0]=1, filled by a nested loop, followed by backward reconstruction of the choice sequence.",claude-blinded-model-annotation
58,37700812,abc271_g,outside_vocabulary,medium,Computes a Markov-chain steady state via numpy matrix exponentiation by repeated squaring over a 24x24 transition matrix; not covered by the 12-class vocabulary.,claude-blinded-model-annotation
59,45282989,abc272_c,sorting_based,high,"Splits values into even/odd lists, sorts each descending, and takes the best pair sum from the top of whichever sorted list qualifies.",claude-blinded-model-annotation
60,45575170,abc272_d,graph_traversal_dfs_bfs,high,"Explicit deque-based BFS with popleft, a visited set, and neighbor generation from a precomputed set of valid move offsets.",claude-blinded-model-annotation
61,48974864,abc272_g,outside_vocabulary,medium,"A randomized algorithm samples pairs, factorizes their difference via a prime sieve, and runs a Boyer-Moore-style majority-vote scan per candidate modulus; not covered by the vocabulary.",claude-blinded-model-annotation
62,44917428,abc275_c,brute_force_implementation,high,A long sequence of nested loops directly enumerates and counts many fixed geometric offset patterns on a 9x9 grid with no algorithmic shortcut.,claude-blinded-model-annotation
63,37220565,abc275_g,binary_search,high,"A while loop repeatedly computes a midpoint X=(ok+ng)/2 over a continuous range and narrows ok or ng based on a feasibility predicate, textbook binary-search-on-the-answer.",claude-blinded-model-annotation
64,45303110,abc276_d,brute_force_implementation,medium,"Direct iterative division by the gcd and then by small prime factors 2 and 3, counting operations; a simple arithmetic loop with no listed algorithmic idiom.",claude-blinded-model-annotation
65,46190302,abc278_e,sliding_window,high,"Maintains a dict-based distinct-count invariant over a 2D window, incrementally adding and removing cell values as the window expands and shrinks while sliding across the grid.",claude-blinded-model-annotation
66,37231890,abc279_g,dynamic_programming,medium,Code comment explicitly defines DP[i]; a Fenwick tree is used to accumulate and query the DP recurrence efficiently in place of a plain array.,claude-blinded-model-annotation
67,45944008,abc281_b,brute_force_implementation,low,Direct length and character-class checks on a fixed 8-character format with no loop over variable-size data.,claude-blinded-model-annotation
68,45472060,abc281_f,brute_force_implementation,medium,"Recursive bit-by-bit partitioning of the array with no memo table; the function is literally named dfs but is exhaustive bit-trie recursion over array subsets, not graph or grid traversal.",claude-blinded-model-annotation
69,45462979,abc283_d,simulation,medium,"Steps through each character of the input applying one of three stated rules (open scope, close scope, add letter) via a stack and a seen-set, in sequence.",claude-blinded-model-annotation
70,45759088,abc283_e,dynamic_programming,high,"Explicit dp table with a base case dp[0] and a nested-loop transition referencing dp[i-1][k] for every row, after a maze precomputation pass.",claude-blinded-model-annotation
71,46910621,abc283_f,outside_vocabulary,medium,A custom segment tree answers range-minimum queries that drive the computation in forward and backward sweeps; segment trees are explicitly named as outside this vocabulary.,claude-blinded-model-annotation
72,45471607,abc286_d,dynamic_programming,high,Active bounded-knapsack-style dp table dp[i+1][j] with base case dp[0][0]=True; an alternative lru_cache recursive approach is left commented out and unused.,claude-blinded-model-annotation
73,45479724,abc286_e,dynamic_programming,medium,"Triple nested loop with k as the outer index updating ans[i][j] from ans[i][k] and ans[k][j], the classic Floyd-Warshall table-fill structure.",claude-blinded-model-annotation
74,38346885,abc286_h,graph_traversal_dfs_bfs,low,"Builds an adjacency list from polygon vertices and explores it via a priority queue (Dijkstra-style relaxation with a reached array), the closest available class though not literal DFS/BFS; geometric intersection checks are a separate preprocessing step.",claude-blinded-model-annotation
75,46180932,abc287_c,outside_vocabulary,high,An explicit UnionFind class processes edges to check cycle formation and connectivity; DSU is named in PATTERN_VOCABULARY.md's own outside-vocabulary example.,claude-blinded-model-annotation
76,54495703,abc287_e,binary_search,medium,"For each string, a while loop narrows [l,r) via a midpoint m and a Trie-search predicate to find the shortest unique prefix length, a binary-search-on-the-answer driven by a supporting Trie structure.",claude-blinded-model-annotation
77,45332649,abc289_c,brute_force_implementation,high,"Enumerates every bitmask subset of the m groups directly and checks a coverage condition for each, classic bitmask brute force.",claude-blinded-model-annotation
78,46033056,abc289_d,dynamic_programming,high,"1D reachability table dp with base case dp[0]=True filled forward by trying each addable value a, an unbounded-coin-change-style recurrence.",claude-blinded-model-annotation
79,45463729,abc289_e,graph_traversal_dfs_bfs,high,"Explicit deque-based BFS (popleft/appendleft) over a product state space of node pairs, with a 2D visited/distance array D.",claude-blinded-model-annotation
80,45270856,abc290_c,sorting_based,high,Sorts the array and then makes a single forward scan checking the gap between consecutive sorted values against a threshold.,claude-blinded-model-annotation
81,45489809,abc291_d,dynamic_programming,high,2-state dp array with explicit base-case initialization and a forward fill loop referencing the previous row's values.,claude-blinded-model-annotation
82,45325123,abc291_e,graph_traversal_dfs_bfs,high,"Kahn's-algorithm topological sort: a deque of zero-indegree nodes is drained with popleft, decrementing neighbor indegrees and enqueueing newly-zero nodes.",claude-blinded-model-annotation
83,45536157,abc292_c,outside_vocabulary,medium,Loops over candidate splits computing divisor counts via prime factorization and a combinatorial product formula; number-theory technique not covered by the vocabulary.,claude-blinded-model-annotation
84,44987159,abc292_d,outside_vocabulary,high,A full custom UnionFind class groups vertices and checks each component's edge-to-vertex ratio; DSU is named in PATTERN_VOCABULARY.md's own outside-vocabulary example.,claude-blinded-model-annotation
85,45523633,abc292_f,binary_search,high,A while loop repeatedly computes a midpoint over a continuous angle range and narrows l or r based on an isOK feasibility predicate.,claude-blinded-model-annotation
86,45457264,abc295_b,brute_force_implementation,medium,"Nested loops directly mark every cell within a Manhattan-distance range of each numbered cell according to a fixed geometric rule, with no search or table.",claude-blinded-model-annotation
87,45933759,abc296_d,brute_force_implementation,medium,"A single loop enumerates candidate divisor values a directly over a bounded range, checking a formula-derived condition and collecting valid answers.",claude-blinded-model-annotation
88,45226037,abc296_f,outside_vocabulary,high,A full custom UnionFind class unions permutation-pair indices and analyzes resulting group sizes; DSU is named in PATTERN_VOCABULARY.md's own outside-vocabulary example.,claude-blinded-model-annotation
89,45710768,abc298_d,simulation,high,"Directly simulates a queue's push/pop operations one command at a time as described by the input, updating a running numeric value at each step.",claude-blinded-model-annotation
90,46008577,abc298_e,dynamic_programming,high,"Explicit probability dp table with base case dp[0][start]=1, filled by a nested loop applying a defined transition at each step.",claude-blinded-model-annotation
91,41059627,abc298_g,dynamic_programming,high,Author's own comments describe an explicit interval-DP recurrence; a multi-dimensional DP table is filled with base cases and min/max transitions over partition points.,claude-blinded-model-annotation
92,46165545,abc299_c,sliding_window,low,"A single pass maintains a running consecutive-run-length invariant that expands by one per matching character and resets on a trigger character, tracking the maximum seen; no other vocabulary class fits better.",claude-blinded-model-annotation
93,41069355,abc299_f,dynamic_programming,high,"A dp table over (position in s, position in t) pairs is filled with an explicit base case and transition loop, supported by auxiliary next-character-occurrence tables.",claude-blinded-model-annotation
94,45723196,abc300_b,brute_force_implementation,high,"Tries every possible (x,y) grid-shift offset directly and checks full-grid equality under modular indexing for each, an exhaustive search over shift candidates.",claude-blinded-model-annotation
95,45749744,abc300_c,graph_traversal_dfs_bfs,high,"Explicit recursive dfs() performs an 8-directional flood fill on a grid, marking visited cells and counting connected component size.",claude-blinded-model-annotation
96,45250612,abc300_e,dynamic_programming,high,Explicit 3D dp table with base case dp[0][0][0]=1 filled by a triple nested loop applying five defined transitions per cell.,claude-blinded-model-annotation
97,45923968,abc300_f,binary_search,medium,"For each i, a while loop narrows ok/ng via a midpoint against a feasibility predicate; a prefix-sum array built earlier is used inside the predicate to answer range totals in O(1).",claude-blinded-model-annotation
98,45763953,abc302_b,brute_force_implementation,high,"Direct nested-loop enumeration checking a fixed five-letter pattern in every row, column, and both diagonal directions of the grid, with no search-space reduction.",claude-blinded-model-annotation
99,45574429,abc304_d,hash_map_counting,medium,"Tallies each point's bucket index into a dict and reports max/min bucket counts; bisect is used only as an indexing helper to compute the bucket coordinates, not as the primary technique.",claude-blinded-model-annotation
100,45077270,abc304_f,dynamic_programming,low,"A table indexed by divisor is filled once per divisor and then each entry subtracts the values of its own sub-divisors, a recurrence-over-a-table structure resembling Mobius inversion implemented as DP.",claude-blinded-model-annotation
101,41991921,abc304_g,binary_search,high,An explicit while loop narrows l/r via a midpoint m against a feasibility predicate computed by recursive bit-trie helper functions.,claude-blinded-model-annotation
102,46169156,abc305_b,brute_force_implementation,low,"A direct if/elif chain maps each of two letters to a fixed lookup value and computes an absolute difference, with no loop or search.",claude-blinded-model-annotation
103,54718266,abc308_d,graph_traversal_dfs_bfs,high,"Explicit stack-based DFS (list.pop from the end) over grid cells with a visited array, following a cyclic-letter-sequence adjacency constraint.",claude-blinded-model-annotation
104,45895898,abc309_c,binary_search,high,"A while loop narrows l/r via a midpoint against a feasibility predicate cal(mid,...) evaluated over the input list.",claude-blinded-model-annotation
105,45971969,abc309_e,graph_traversal_dfs_bfs,high,"Explicit recursive dfs(i,hp) traverses a tree via an adjacency list built from a parent array, carrying state down to children.",claude-blinded-model-annotation
106,46217262,abc310_b,brute_force_implementation,high,"Nested loop over all ordered pairs (i,j) directly evaluates a condition() predicate for every pair with no search-space reduction.",claude-blinded-model-annotation
107,43899768,abc311_g,prefix_sums,low,A 2D cumulative-sum array Asum is built via row-then-column accumulation and used for O(1) range-sum lookups; a monotonic-stack largest-rectangle technique is layered on top and is not itself covered by the vocabulary.,claude-blinded-model-annotation
108,46028780,abc312_c,binary_search,high,The code defines and calls a function literally named binary_search implementing the ok/ng midpoint-narrowing pattern with a docstring explaining the convention; sorting is only preprocessing for the predicate's linear scan.,claude-blinded-model-annotation
109,52032093,abc312_d,dynamic_programming,high,Explicit dp table with base case dp[0][0]=1 filled by a nested loop applying bracket-sequence transitions at each position.,claude-blinded-model-annotation
110,45766127,abc313_e,dynamic_programming,low,"Iterates over run-length-encoded character groups updating a running answer via a self-referential recurrence ans += (last-1)*ans + len(val), a minimal single-variable rolling DP.",claude-blinded-model-annotation
111,46134579,abc313_g,outside_vocabulary,medium,Relies on a specialized floor_sum number-theoretic routine (Euclidean-like floor-sum computation) accumulated over sorted values; not covered by the 12-class vocabulary.,claude-blinded-model-annotation
112,45979954,abc314_b,brute_force_implementation,medium,Nested loop directly scans all rows and entries tracking the minimum-length match with no search-space reduction or table.,claude-blinded-model-annotation
113,45808089,abc314_e,dynamic_programming,high,1D dp array with base case dp[0]=0 filled forward via a nested loop applying an expected-value transition per item.,claude-blinded-model-annotation
114,45264890,abc314_g,outside_vocabulary,low,A custom two-heap lazy-deletion order-statistics structure (BottomK) maintains a dynamic bottom-k sum with set/inc_k/dec_k operations; not a clean fit for any of the 12 classes.,claude-blinded-model-annotation
115,46043300,abc315_f,dynamic_programming,high,2D dp table with base case dp[0][0]=0 filled by nested loops applying a min-distance transition between states.,claude-blinded-model-annotation
116,46240679,abc317_f,dynamic_programming,high,Digit-DP over the binary representation of N: a multi-dimensional dp table with an explicit base case is transitioned bit by bit.,claude-blinded-model-annotation
117,55010802,abc320_c,brute_force_implementation,medium,"Recursive function explores combinations of watch choices with a visited array that is set and then unset (backtracking) and no memo table, an exhaustive recursive search despite being named dfs.",claude-blinded-model-annotation
118,54919763,abc320_d,graph_traversal_dfs_bfs,high,"Level-by-level frontier expansion over an adjacency list using a visited array, functionally BFS even though coded with sets instead of a deque.",claude-blinded-model-annotation
119,45654657,abc320_g,binary_search,medium,"An outer while loop narrows ok/ng via a midpoint, using a Dinic max-flow computation as the feasibility predicate for each candidate value.",claude-blinded-model-annotation
120,50314783,abc321_f,dynamic_programming,high,A knapsack-style dp array is incrementally updated in place for add and remove queries via forward and backward index loops.,claude-blinded-model-annotation
121,46196763,abc322_b,brute_force_implementation,medium,Two independent single-direction linear scans directly compare prefix and suffix characters; not a converging two-index scan.,claude-blinded-model-annotation
122,46190250,abc322_d,brute_force_implementation,high,Triple nested loop enumerates all rotation-and-position combinations for three puzzle pieces and checks a merge condition for each.,claude-blinded-model-annotation
123,53004931,abc322_e,dynamic_programming,high,"A dict-keyed dp table with base case dp[(0,...,0)]=0 is rebuilt each iteration with a per-item transition, a dictionary-based DP over a sparse tuple state space.",claude-blinded-model-annotation
124,54930796,abc323_c,greedy,high,"Sorts remaining values descending and repeatedly subtracts the largest remaining value from a needed deficit until satisfied, never reconsidering earlier choices.",claude-blinded-model-annotation
125,52742757,abc324_e,binary_search,high,"Uses bisect.bisect and bisect_left on sorted left/right arrays to count matches via index differences, a direct library binary-search application.",claude-blinded-model-annotation
126,47205844,abc325_f,dynamic_programming,high,Explicit dp array with base case dp[0]=0 filled by a triple nested loop applying a min-cost transition at each state.,claude-blinded-model-annotation
127,54454360,abc326_c,sliding_window,high,"Maintains a running sum invariant kyori over a window of gaps, expanding by adding each new gap and shrinking from the left while the sum exceeds M, tracking the maximum window size.",claude-blinded-model-annotation
128,52796362,abc326_d,brute_force_implementation,high,"Deeply nested loops (three to five levels, matched to board size) enumerate every combination of row permutations from a precomputed set and check board validity for each.",claude-blinded-model-annotation
129,55003503,abc327_c,brute_force_implementation,medium,"Directly iterates over every row, column, and 3x3 block of a fixed 9x9 grid checking set equality, with no search or algorithmic shortcut.",claude-blinded-model-annotation
130,54743139,abc328_b,brute_force_implementation,high,"Nested loop directly enumerates every (month, day) pair and checks a hardcoded repdigit condition for each, with no algorithmic shortcut.",claude-blinded-model-annotation
131,52726801,abc329_e,graph_traversal_dfs_bfs,medium,"A deque-driven propagation repeatedly pops a newly-fixed position and enqueues newly-valid positions discovered from it, a BFS-style exploration over string positions rather than an explicit adjacency list.",claude-blinded-model-annotation
132,48207650,abc330_f,binary_search,high,"An explicitly named binary(l,r) function narrows l/r via a midpoint against a judge(mid) feasibility predicate.",claude-blinded-model-annotation
133,54711529,abc332_c,simulation,high,"Steps through each character of the input applying one of three stated ticket-usage rules in sequence, updating running counters.",claude-blinded-model-annotation
134,54467069,abc333_b,brute_force_implementation,medium,"An extensive hardcoded if/elif chain enumerates every case directly with no loop or data structure, a direct-formula lookup table in its most literal form.",claude-blinded-model-annotation
135,55003175,abc334_c,prefix_sums,high,Builds forward and backward cumulative arrays pre/after and combines them at each candidate split point to answer the query in O(1).,claude-blinded-model-annotation
136,55029036,abc335_e,dynamic_programming,medium,"After an elaborate UnionFind groups equal-valued nodes into a DAG, the answer is computed by a longest-path dp array with an explicit base case, processed in sorted topological order.",claude-blinded-model-annotation
137,54659671,abc336_d,brute_force_implementation,low,"Two independent sequential forward and backward passes directly clamp each value against its neighbor via a formula, with no table, search, or genuine choice between alternatives.",claude-blinded-model-annotation
138,54308671,abc337_d,sliding_window,high,"Maintains a running count array over a window of size K, initializing it and then sliding by removing the departing cell and adding the entering cell for both row-wise and column-wise scans.",claude-blinded-model-annotation
139,49855272,abc337_f,sliding_window,high,"Comment explicitly labels dp[c] as counts within range [i,j]; the window expands via an inner while loop incrementing j and shrinks by decrementing at the start of each outer i step.",claude-blinded-model-annotation
140,54041010,abc338_e,intervals,medium,"Represents each input as a (start,end) chord and sweeps endpoints in order with a stack, checking for crossing (non-nested) overlap between intervals.",claude-blinded-model-annotation
141,54672032,abc339_b,simulation,high,"Steps through N moves one at a time, toggling the current cell, updating a direction index, and wrapping position at grid edges each step.",claude-blinded-model-annotation
142,53281757,abc339_f,hash_map_counting,medium,"For each candidate pair, membership and tallies are checked against per-modulus residue-count dictionaries d[c]; the counting dictionaries are what make the query answerable.",claude-blinded-model-annotation
143,53927639,abc341_d,binary_search,high,"A while loop narrows l/r via a midpoint against a count-based feasibility predicate, textbook binary-search-on-the-answer.",claude-blinded-model-annotation
144,50668241,abc342_g,outside_vocabulary,high,An explicit iterative segment tree with per-node heaps supports retroactive range-chmax and deletion; segment trees are named in the vocabulary's own outside-vocabulary example.,claude-blinded-model-annotation
145,54978258,abc343_c,brute_force_implementation,medium,"Generates the list of perfect cubes up to N directly, then checks each in reverse order for the palindrome property with no search-space reduction.",claude-blinded-model-annotation
146,54461819,abc345_d,brute_force_implementation,medium,An outer bitmask loop enumerates every subset of pieces and a recursive dfs backtracks through placement choices with deep-copied state and no memo table.,claude-blinded-model-annotation
147,52899692,abc345_e,dynamic_programming,high,"Tracks best and second-best value arrays indexed by capacity, updated per item with an explicit base case and same-color exclusion transition.",claude-blinded-model-annotation
148,55019091,abc346_b,sliding_window,high,"Maintains running w/b counts over a window into a fixed 24-character pattern, sliding by removing the departing character and adding the entering one each step.",claude-blinded-model-annotation
149,54740445,abc346_d,dynamic_programming,high,A small 2x2 dp table with an explicit base case is transitioned forward one position at a time via a nested loop over state combinations.,claude-blinded-model-annotation
150,52762677,abc346_e,hash_map_counting,medium,"Processes operations in reverse order, using row/column sets to track already-claimed lines and a dict to tally painted-cell counts per color in one pass.",claude-blinded-model-annotation
151,53286789,abc346_f,binary_search,high,A function literally named m_bisect narrows ok/ng via a midpoint against an is_ok feasibility predicate.,claude-blinded-model-annotation
152,52760025,abc347_f,prefix_sums,medium,"Builds a 2D cumulative-sum array and uses it for O(1) MxM window-sum queries, which feed a set of running-maximum corner tables built on top.",claude-blinded-model-annotation
153,54918141,abc349_b,sorting_based,medium,Sorts all characters and then groups consecutive equal values to count occurrences of each distinct character.,claude-blinded-model-annotation
154,54267102,abc349_d,greedy,high,"At each step takes the largest valid power-of-two-sized dyadic interval starting at the current point and commits to it, never reconsidering.",claude-blinded-model-annotation
155,53462819,abc349_f,dynamic_programming,high,"Subset-sum-over-bitmasks dp array with base case dp[0]=1, filled by iterating all masks and applying an OR-based transition.",claude-blinded-model-annotation
156,54968121,abc351_c,simulation,medium,"Processes each number in sequence, using a stack-like deque to merge adjacent equal values recursively as each new value arrives.",claude-blinded-model-annotation
157,53505050,abc353_f,brute_force_implementation,low,Bespoke hex-tile distance formulas are evaluated over a small bounded set of candidate tile positions (up to four per endpoint) to find the minimum; no vocabulary class matches cleanly.,claude-blinded-model-annotation
